Model,Accuracy,Macro-F1,Hyperparams,TrainingParams
relu_20250409_062931.npz,0.3929,0.3596772094429415,"{'input_dim': 128, 'hidden_dims': [512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 512, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.92, 'weight_decay': 0.0001}}"
relu_20250409_065111.npz,0.3844,0.3487961816676338,"{'input_dim': 128, 'hidden_dims': [512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 256, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.9, 'weight_decay': 0.0001}}"
relu_20250409_065902.npz,0.3819,0.3425892681331245,"{'input_dim': 128, 'hidden_dims': [512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 256, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.92, 'weight_decay': 0.0001}}"
relu_20250409_073448.npz,0.3752,0.3392318418638479,"{'input_dim': 128, 'hidden_dims': [512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 512, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.92, 'weight_decay': 0.0001}}"
relu_20250409_041138.npz,0.3744,0.336788396409218,"{'input_dim': 128, 'hidden_dims': [256, 128], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 256, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.9, 'weight_decay': 0.0001}}"
relu_20250409_160911.npz,0.381,0.3366099579575744,"{'input_dim': 128, 'hidden_dims': [1024, 512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 512, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.92, 'weight_decay': 0.0001}}"
relu_20250409_072649.npz,0.377,0.3330121680756643,"{'input_dim': 128, 'hidden_dims': [512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 512, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.9, 'weight_decay': 0.0001}}"
relu_20250409_173027.npz,0.3724,0.33236458900529753,"{'input_dim': 128, 'hidden_dims': [1024, 512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 256, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.92, 'weight_decay': 0.0001}}"
relu_20250409_060150.npz,0.366,0.3322853427233172,"{'input_dim': 128, 'hidden_dims': [512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 256, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.92, 'weight_decay': 0.0001}}"
relu_20250409_150301.npz,0.3676,0.33003423998788334,"{'input_dim': 128, 'hidden_dims': [1024, 512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 256, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.92, 'weight_decay': 0.0001}}"
relu_20250409_080021.npz,0.3712,0.3294443236812956,"{'input_dim': 128, 'hidden_dims': [512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 256, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.9, 'weight_decay': 0.0001}}"
relu_20250409_055358.npz,0.3605,0.32938394916223357,"{'input_dim': 128, 'hidden_dims': [512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 256, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.9, 'weight_decay': 0.0001}}"
relu_20250409_170944.npz,0.3643,0.3277371282570882,"{'input_dim': 128, 'hidden_dims': [1024, 512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 256, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.9, 'weight_decay': 0.0001}}"
