model,accuracy,macro_f1
relu_20250409_062931.npz,0.3929,0.3596772094429415
relu_20250409_065111.npz,0.3844,0.3487961816676338
relu_20250409_065902.npz,0.3819,0.3425892681331245
relu_20250409_073448.npz,0.3752,0.3392318418638479
relu_20250409_041138.npz,0.3744,0.336788396409218
relu_20250409_160911.npz,0.381,0.3366099579575744
relu_20250409_072649.npz,0.377,0.3330121680756643
relu_20250409_173027.npz,0.3724,0.33236458900529753
relu_20250409_060150.npz,0.366,0.3322853427233172
relu_20250409_150301.npz,0.3676,0.33003423998788334
relu_20250409_080021.npz,0.3712,0.3294443236812956
relu_20250409_055358.npz,0.3605,0.32938394916223357
relu_20250409_170944.npz,0.3643,0.3277371282570882
relu_20250409_140212.npz,0.3624,0.3276696157189629
relu_20250409_162839.npz,0.3577,0.32706691640657604
relu_20250409_032959.npz,0.3637,0.326417315922528
relu_20250409_045914.npz,0.3587,0.3258019019800481
relu_20250409_031124.npz,0.357,0.3256723594178803
relu_20250409_050845.npz,0.3637,0.3242493571106234
relu_20250409_062238.npz,0.364,0.32370971809145754
relu_20250409_080948.npz,0.3638,0.3223904027309832
relu_20250409_164810.npz,0.3659,0.3203302545753731
relu_20250409_041524.npz,0.3531,0.3186389036122845
relu_20250409_132524.npz,0.3585,0.317922668463011
relu_20250409_054034.npz,0.3597,0.317773683560551
relu_20250409_064322.npz,0.3603,0.3172661186406838
relu_20250409_091510.npz,0.3539,0.31671465664369125
relu_20250409_044035.npz,0.361,0.3149801976265028
relu_20250409_022857.npz,0.3518,0.3140917768666187
relu_20250409_134330.npz,0.3596,0.31381842902499474
relu_20250409_061543.npz,0.3522,0.31110435151681226
relu_20250409_104744.npz,0.3523,0.3103106771735369
relu_20250409_154813.npz,0.3578,0.31030597232146945
relu_20250409_144204.npz,0.3549,0.3098406231504993
relu_20250409_052559.npz,0.3441,0.30945888186423975
relu_20250409_044611.npz,0.353,0.3089825347717201
relu_20250409_025903.npz,0.3479,0.30843799637730546
relu_20250409_024144.npz,0.3466,0.30704704405184824
relu_20250409_142135.npz,0.3505,0.30595666551792045
relu_20250409_032525.npz,0.3438,0.30519876072941077
relu_20250409_034137.npz,0.3467,0.30450430444236265
relu_20250409_175230.npz,0.3423,0.30332380110923074
relu_20250409_035736.npz,0.3467,0.30184433352567575
relu_20250409_040108.npz,0.3405,0.3005156196931149
relu_20250409_022039.npz,0.3292,0.29925939789962824
relu_20250409_063626.npz,0.3479,0.2990123722401314
relu_20250409_152551.npz,0.3456,0.29848556750205757
relu_20250409_060844.npz,0.341,0.29654420566359535
relu_20250409_043451.npz,0.3331,0.29604239369731733
relu_20250409_031610.npz,0.3345,0.29587779137241743
relu_20250409_051818.npz,0.3417,0.2956168118702553
relu_20250409_045237.npz,0.3351,0.29557817639885975
relu_20250409_054657.npz,0.3396,0.2944870594086652
relu_20250409_053322.npz,0.3364,0.29443431666157804
relu_20250409_034529.npz,0.3421,0.29342203944043727
relu_20250409_071850.npz,0.3402,0.2930008895401091
relu_20250409_023212.npz,0.3212,0.2900523906806864
relu_20250409_042319.npz,0.3266,0.2898508925158204
relu_20250409_030701.npz,0.3175,0.28927608809786565
relu_20250409_024621.npz,0.3279,0.288871012679628
relu_20250409_040424.npz,0.3244,0.2884714137951357
relu_20250409_115135.npz,0.3302,0.2878181773734996
relu_20250409_041922.npz,0.3284,0.28687553886565337
relu_20250409_022323.npz,0.3163,0.2865452600202456
relu_20250409_040749.npz,0.3246,0.2861880234953397
relu_20250409_034930.npz,0.329,0.2855753089724119
relu_20250409_120948.npz,0.3348,0.2847765381544179
relu_20250409_025500.npz,0.3159,0.28380790724973204
relu_20250409_042906.npz,0.323,0.2821416201731621
relu_20250409_022610.npz,0.3242,0.28200284397267994
relu_20250409_075036.npz,0.3351,0.2816268454582426
relu_20250409_023550.npz,0.3172,0.2814971153087721
relu_20250409_030248.npz,0.3178,0.28138312877846267
relu_20250409_032047.npz,0.3239,0.28069989536839257
relu_20250409_181432.npz,0.3291,0.2800031971052299
relu_20250409_033748.npz,0.3235,0.2799209918145696
relu_20250409_122752.npz,0.3202,0.27876883634280264
relu_20250409_081748.npz,0.3276,0.2784539673215398
relu_20250409_082552.npz,0.3278,0.27760264922218797
relu_20250409_074219.npz,0.3243,0.2767348635104509
relu_20250409_113515.npz,0.3145,0.27353860502074456
relu_20250409_070741.npz,0.3198,0.27342106952034806
relu_20250409_102814.npz,0.3071,0.2696004961107999
relu_20250409_130634.npz,0.3121,0.2678448405404503
relu_20250409_093153.npz,0.316,0.2663798648170041
relu_20250409_035347.npz,0.3183,0.266213994091446
relu_20250409_033427.npz,0.3089,0.2648227510920138
relu_20250409_025034.npz,0.2923,0.2625189546688226
relu_20250409_100857.npz,0.2956,0.2549631297333149
relu_20250409_111910.npz,0.3024,0.2533784336973562
relu_20250409_124715.npz,0.2939,0.2509687580691145
relu_20250409_095011.npz,0.3011,0.25020879584482214
model_test.npz,0.2889,0.24119538959283124
relu_20250409_110325.npz,0.2804,0.23692703781179061
relu_20250409_084203.npz,0.2851,0.2363640041766774
relu_20250409_085821.npz,0.2765,0.22641990975068388
